Designator,Mid X,Mid Y,Rotation,Layer
C1,126.4768,-92.25,0.0,bottom
C2,126.4768,-93.85,0.0,bottom
C3,123.8768,-85.15,0.0,bottom
C4,123.8768,-86.75,0.0,bottom
C5,131.4068,-88.22,90.0,top
C6,128.4768,-81.65,0.0,top
C7,128.4768,-79.95,0.0,top
FB1,127.7968,-88.0,90.0,bottom
J1,127.103502,-76.25,0.0,top
J2,137.25,-90.103502,-90.0,top
J3,113.75,-86.896499,90.0,top
J4,117.1,-100.1,180.0,top
J5,130.5,-100.1,180.0,top
R1,122.22,-88.33,180.0,bottom
R2,126.9768,-85.25,180.0,bottom
R3,129.8468,-88.19,90.0,top
U1,123.6768,-86.75,0.0,top
Y1,121.9768,-95.08,-45.0,top
